id,name,brewery,category,style,description,abv,ibu
3e2c3c68-314c-4da8-a409-02909da91f60,Atomic Duck,Able Baker Brewing Company,IPA,IPA - American,"Strong hop character backed up by a mild but noticeable malt backbone. Dry hopped with a creative blend of hops designed to yield notes of citrus, tropical fruit, and pine. This beer is named after our mascot and brand ambassador, THE ATOMIC DUCK, and his mythology is the inspiration for this ale.",7.0,88
957312a2-a2a0-4f25-94d4-19bbc5559f0f,Two Hearted Ale,Bell's Brewery,IPA,IPA - American,"Brewed with 100% Centennial hops from the Pacific Northwest and named after the Two Hearted River in Michigan’s Upper Peninsula, our American IPA is bursting with hop aromas ranging from pine to grapefruit from massive hop additions in both the kettle and the fermenter. Perfectly balanced with a malt backbone and combined with the signature fruity aromas of Bell's house yeast, Two Hearted® is remarkably drinkable and well suited for adventures everywhere.",7.0,60
791dfa7d-5d14-4e58-8153-34403247b479,Workhorse IPA,Laurelwood Brewing Co.,IPA,IPA - American,"Workhorse, our biggest seller in the pubs, is an extremely well balanced and super flavorful IPA brewed in the West Coast style. The over-the-top hop aroma comes from the heavy-handed dose of hops in the kettle, hop back and multiple dry hop additions. A slightly sweet finish helps to balance the hop bitterness and creates and ale that is big on flavor yet remains highly drinkable.",6.7,80
1fd0e98b-e116-4abb-98a7-dafb8869c36a,Disco Ninja,Revision Brewing Company,IPA,IPA - New England,"It’s a simple universal fact that ninjas are badass. You know what else is badass? Revision beer. Our buddies at Shoe Tree Brewing kicked around ideas with us to develop this tasty, tantalizing, karate chop in your freaking mouth. Kaleidoscopic nunchuck hits to the dome with Citra®, Galaxy®, Mosaic® and Amarillo®. Stealthily slaying your taste buds, one sip at a time.",7.0,40
c8ae25ae-3541-4e6b-a535-9e298034649c,Return of the Citra Rye,Astronomy Aleworks,IPA,IPA - Rye,A Rye Citra IPA that is dank and delicious.,6.7,70
3ac17f7a-64b9-4319-aa5c-23fb2b8e4abd,HopAtomic,Lovelady Brewing Company,IPA,IPA - Double,"Featuring aromas of tropical fruit (Citra and Cashmere) and a crisp, balanced finish. A Taproom favorite!",8.2,75
4f032045-fca0-4349-9ad8-a8b3c4381cbf,Sublimely Self-Righteous Black IPA,Stone Brewing,IPA,Black IPA,"Stone Sublimely Self-Righteous Black IPA graced our year-round lineup for a few years before its retirement in 2015. Since then, nearly every single day, we receive multiple emails, phone calls and social media comments from diehard fans of this hoppy and dark delicacy, pleading, begging and sometimes demanding us to bring it back. (Seriously, we tried to add them all up and it was easily into the thousands.) Because you can't keep a great beer permanently retired, it's made a few cameo appearances in our Stone Mixed Packs as well as on draft at our Tap Rooms and Bistros over the years. But now it's back nationwide on its own in all its glory. Original recipe. Original artwork.",8.7,90
d59312b6-d13a-46d1-bdbd-18e748816d2e,Thirsty Thurtle,HUDL Brewing Company,Pale Ale,Pale Ale - American,"We are proud to participate in Ales for ALS™ this summer, a program that raises money for ALS research at the ALS Therapy Development Institute (ALS TDI) in Cambridge, MA. Peach, Apricot and Citrus notes lead you into subtle balanced malt bill that provides a bit of biscuit character in the finish, Then we Double Dry Hopped it, using a blend of hops donated by B.T. Loftus Ranches and YCH Hops (HBC 630, Simcoe, Ekuanot, Citra, Mosaic, Ahtanum, Loral and Sabro). The Thirsty Thurtle Pale Ale is Crisp, Clean and Refreshing. Come on in and help us put an end to ALS. We are donating $1 from each pint the ALS TDI.",5.5,25
f7a319cc-6ce4-46e6-9062-984a460a94c1,San Diego Pale Ale .394,AleSmith Brewing Company,Pale Ale,Pale Ale - American,"In early 2014, Tony Gwynn’s team approached AleSmith to create a distinctive beer for the baseball legend. A meeting was called at the Gwynn household, which included a sampling of AleSmith beers to identify Tony’s preferences. He wanted the beer to be “light with a kick” which he elaborated further to mean full of hop character and light in body and color. The result of the Gwynn family’s feedback on test batches rendered a golden pale ale full of American hop flavor and aroma, with a subdued bitterness and a malty sweet finish. AleSmith San Diego Pale Ale .394 pays tribute to the city that Tony loved and the career-high batting average that he achieved in ‘94. Discover what happens when a Hall of Fame perfectionist crafts a beer with a world-class brewery. A portion of the proceeds will go to the Tony and Alicia Gwynn Foundation (TAG).",6.0,13
72079edd-ef8e-44fa-964e-18a613409023,Mexico Surf Trip,Pizza Port Brewing Company,Lager,Lager - Pale,Crisp and refreshing Mexican-style lager.,4.8,10
4582766c-b65b-4310-9906-35e5820027ae,Oskar's Lager,Oskar Blues Brewery,Lager,Lager - Pale,"Oskar’s Lager is the kind of beer Oskar Blues brewers always wanted to drink but couldn’t find regularly on draft in our taprooms or available in cans to take on weekend adventures. Using German lager techniques honed for the Slow Chill Lager Series and a handful of collaborations with other craft breweries, Oskar Blues brewers developed an ultra-crisp, smooth lager with depth of flavor and low ABV, allowing for day-long sessioning.",4.2,N/A
a2207aa9-d36b-4e90-affb-f297f0be8ef1,Apricot Hefeweizen,Wasatch Brewery,Wheat,Hefeweizen,"This smooth and unfiltered fruited hefeweizen has a beautiful apricot nose and a refreshing, slightly tart finish. The bounty of the orchard is now portable.",4.8,9
db2fc1be-a9a4-4e23-9ea7-fe85c473dbf0,Tailwagger Wheat,Big Dog's Brewing Company,Wheat,Hefeweizen,"Authentic Bavarian-style Hefeweizen, possessing strong banana & clove aroma and flavor as a result of special German yeast.",4.9,N/A
